dim_1,dim_2,dim_3,value
2,14,3,0.0156106807839504
2,14,4,0.064437086348559
2,14,5,0.0530334153299348
2,14,6,0.0152853171560567
2,14,7,0.0013880486928059
2,14,8,0.0000561635077937
2,14,9,0.0000009166531923
2,14,10,0.0000000089217636
2,14,11,0.0000000000425064
2,14,12,0.0000000000006191
2,14,13,0.0000000000000045
2,14,14,6.22797e-20
2,14,15,4.96273e-24
2,14,16,0
2,15,1,0.0000000005024753
2,15,2,0.0000000438562052
2,15,3,0.0000007481396104
2,15,4,0.00000393118903
2,15,5,0.0000028693462093
2,15,6,0.0000030510047347
2,15,7,0.0000001477132074
2,15,8,0.0000000026902777
2,15,9,0.0000000000466128
2,15,10,0.0000000000003159
2,15,11,0.0000000000000012
2,15,12,1.52703e-17
2,15,13,1.10348e-19
2,15,14,6.83195e-22
2,15,15,3.00729e-27
2,15,16,0
2,16,1,0
2,16,2,0
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,16,14,0
2,16,15,0
2,16,16,0
3,1,1,-9.41779e+06
3,1,2,1505748.5317617864347994
3,1,3,858967.603749651927501
3,1,4,318375.0111133548198268
3,1,5,41271.4796827233949443
3,1,6,2947.456221768409705
3,1,7,91.9196378391514344
3,1,8,6.2211778604788073
3,1,9,0.0000014106613947
3,1,10,0.0000000000000128
3,1,11,3.23402e-23
3,1,12,-8.28808e-32
3,1,13,-1.64713e-39
3,1,14,-6.22112e-47
3,1,15,-8.9038e-54
3,1,16,0
3,2,1,7955020.7956086583435535
3,2,2,-7.0651e+07
3,2,3,15524310.8727267067879438
3,2,4,4323864.1508349496871233
3,2,5,527947.7553896210156381
3,2,6,42036.911533886421239
3,2,7,1768.8524579231366261
3,2,8,93.566396376525006
3,2,9,0.0000844450001545
3,2,10,0.0000000000056625
3,2,11,-6.00492e-20
3,2,12,3.77803e-28
3,2,13,2.25048e-35
3,2,14,8.96885e-43
3,2,15,1.59652e-49
3,2,16,0
3,3,1,56269837.2947054505348206
3,3,2,196585424.9527214169502258
3,3,3,-3.43061e+08
3,3,4,24441528.9688364192843437
3,3,5,6366585.5882231229916215
3,3,6,396968.6040920591331087
3,3,7,19640.4327489329407399
3,3,8,950.6048724887941717
3,3,9,0.0064961327612989
3,3,10,0.0000000014356409
3,3,11,8.54615e-17
3,3,12,-6.5889e-25
3,3,13,-1.33581e-31
3,3,14,-5.80651e-39
3,3,15,-1.30556e-45
3,3,16,0
3,4,1,366892909.1408417820930481
3,4,2,1413301409.6284801959991455
3,4,3,732936893.1208643913269043
3,4,4,-5.65141e+08
3,4,5,49890452.4712284803390503
3,4,6,4326102.9474764047190547
3,4,7,172004.9654708752350416
3,4,8,9363.3496605306136189
3,4,9,0.2935574706297613
3,4,10,0.0000002933992115
3,4,11,0.0000000000000557
3,4,12,5.07778e-22
3,4,13,4.26518e-28
3,4,14,2.2201e-35
3,4,15,6.33507e-42
3,4,16,0
3,5,1,1838514423.8743605613708496
3,5,2,7964077692.4547405242919922
3,5,3,5067196517.7627973556518555
3,5,4,1176099101.2561984062194824
3,5,5,-6.91563e+08
3,5,6,14168789.0587661676108837
3,5,7,955674.9370885809184983
3,5,8,52986.2725948929582955
3,5,9,10.551177246747951
3,5,10,0.0000271306323216
3,5,11,0.0000000000213429
3,5,12,-6.16053e-19
3,5,13,-7.73373e-25
3,5,14,-5.73669e-32
3,5,15,-2.03299e-38
3,5,16,0
3,6,1,5816841132.5656557083129883
3,6,2,25488953248.8038291931152344
3,6,3,18864043671.6682472229003906
3,6,4,6255668585.9106864929199219
3,6,5,1397454154.4630835056304932
3,6,6,-2.55734e+08
3,6,7,6418897.1204291041940451
3,6,8,393991.6360564772039652
3,6,9,174.8503921728712669
3,6,10,0.0022134244443623
3,6,11,0.0000000048512753
3,6,12,0.0000000000000027
3,6,13,7.42671e-22
3,6,14,1.06151e-28
3,6,15,4.40865e-35
3,6,16,0
3,7,1,16171913846.6976718902587891
3,7,2,77712108210.3883819580078125
3,7,3,60383042766.4148101806640625
3,7,4,23355797349.2967453002929688
3,7,5,5665160604.1030521392822266
3,7,6,745088618.9934265613555908
3,7,7,-3.91172e+07
3,7,8,2063237.0313456126023084
3,7,9,2158.1644720922777196
3,7,10,0.0477351972558448
3,7,11,0.0000004465218218
3,7,12,0.0000000000004605
3,7,13,3.74151e-19
3,7,14,-1.36366e-25
3,7,15,-6.31202e-32
3,7,16,0
3,8,1,17871119168.5656547546386719
3,8,2,95571055118.226470947265625
3,8,3,110540246650.4007415771484375
3,8,4,52709553860.5559844970703125
3,8,5,14958486739.1516304016113281
3,8,6,1770709789.7142457962036133
3,8,7,148376942.0670493841171265
3,8,8,-1.76631e+06
3,8,9,49234.3275682606108603
3,8,10,2.6936551407226661
3,8,11,0.0000462391537825
3,8,12,0.0000000002026392
3,8,13,0.0000000000000002
3,8,14,1.5976e-22
3,8,15,5.54869e-29
3,8,16,0
3,9,1,1666561209.4171497821807861
3,9,2,14580731584.4792652130126953
3,9,3,24810802927.6381988525390625
3,9,4,16680847578.7585086822509766
3,9,5,4670580749.2004270553588867
3,9,6,609842691.330588698387146
3,9,7,58225446.4170400127768517
3,9,8,9737450.5223967414349318
3,9,9,22579.1612868817719573
3,9,10,21.8066632569264556
3,9,11,0.0002387055709174
3,9,12,0.0000000009210184
3,9,13,0.0000000000000012
3,9,14,5.85262e-22
3,9,15,9.83673e-29
3,9,16,0
3,10,1,9134642.8266197592020035
3,10,2,191915393.3465592861175537
3,10,3,565426746.8210093975067139
3,10,4,447164298.8409386873245239
3,10,5,136550286.1195162236690521
3,10,6,17785172.4258133359253407
3,10,7,1542241.3478224040009081
3,10,8,233669.6169832985324319
3,10,9,3775.3309457130403644
3,10,10,2.7620257899445049
3,10,11,0.0013539149108706
3,10,12,0.0000000053452375
3,10,13,0.0000000000000074
3,10,14,3.17801e-21
3,10,15,3.52967e-27
3,10,16,0
3,11,1,7478.8506126606171165
3,11,2,291930.3409065795131028
3,11,3,1283550.084849902195856
3,11,4,1796767.0380902295000851
3,11,5,603235.3353974877391011
3,11,6,116237.2788447354832897
3,11,7,7001.0544545231859956
3,11,8,834.6678634408674498
3,11,9,15.2204319648722439
3,11,10,0.1916855781421479
3,11,11,0.0000643266697367
3,11,12,0.0000000184318938
